Daidoji Bushi    THE FORCE OF HONOR    1    The Iron Warrior serves as the shield of his clan, defending the honor and homes of the Crane. You gain a bonus of your Honor Rank (rounded down) minus 4 to your Wounds at each Wound Rank, to a minimum bonus of one. (Thus at Honor Rank 6.5, you gain a bonus of 2 Wounds to each Wound Rank.) Additionally, you gain a bonus of +1k0 to the total of all attack rolls while in the Attack Stance.    THE SHIELD OF FAITH    2    The Iron Warrior truly believes that his work serves a higher purpose. When you perform the Guard Maneuver, the benefi ts last for an additional Round. Additionally, the Armor TN bonus of the Guard Maneuver is increased by 5. (This bonus applies to both your Armor TN and your target’s Armor TN – thus, you suffer no TN penalty when Guarding, and your target gains a bonus of +15 to his Armor TN instead of +10.)    STRIKE BENEATH THE VEIL    3    The Daidoji is an intractable foe, devastating to face under any circumstances. You may make melee attacks as a Simple Action instead of a Complex Action while in the Attack Stance.    VIGILANCE OF MIND    4    The Iron Warrior is always on the lookout for dangers. You may spend a Void Point during the Reactions Stage to target an opponent who has attempted to strike at either you or the target of your Guard Maneuver during the Round. You gain a bonus of +2k1 to the total of all attack and damage rolls against that opponent during the next Round.    TO TREAD ON THE SWORD    5    When the Iron Warrior fi ghts to protect his charge, he will continue on long after others would perish. You may spend two Void Points as a Free Action when someone declares an action against the target of your Guard Maneuver. You become the target of the action instead (if it would be a legal action – GM’s discretion in questionable instances). You also gain one Free Action that you may use immediately for the sole purpose of moving toward the target of your Guard Maneuver. If you cannot reach your target, this Technique has no effect.
Doji Courtier    THE SOUL OF HONOR    1    Apprentice Doji courtiers are taught to rely on their Honor when dealing with others, infusing their every word and gesture with the power of their purity, and to build networks of allies by discerning what others need and fulfilling those needs. So long as you maintain your Honor Rank at 6.0 or better, you gain a Free Raise on all Courtier, Sincerity, and Etiquette rolls. Also, by conversing with another person for a few minutes, you can make a Contested Roll of Courtier (Manipulation) / Awareness against the target’s Etiquette (Courtesy) / Awareness to learn whether they are in need of any favors or assistance (such as needing travel papers to reach another province, for example).    SPEAKING IN SILENCE    2    At this Rank the Doji learns Cadence, the art of communicating through subtle gestures and body language. This gives them a huge advantage in the courts by allowing them to share information while their rivals are none the wiser. You can roll Courtier/Intelligence at TN 15 to communicate simple ideas and instructions (things like “distract them,” “this favors us,” or “intercept that person”) with any other Crane who is trained in the Doji Courtier School or who has at least 5 Ranks in the Courtier skill. More complex ideas can be conveyed with Raises, although there is an upper limit (set by the GM) on how complicated Cadence can become.    THE PERFECT GIFT    3    The Doji build their networks of alliances through selflessness, offering others what they need so that in future the Doji may rely on their assistance. Any time you are in court or in an urban area, you can roll Courtier/Awareness at TN 20 to come up with a suitable gift or a helpful political favor for someone else. By calling Raises on this roll, you can acquire a rarer or more potent gift or favor. If such a gift or favor is accepted, you may immediately take that person as an Ally with 1-point Devotion, without XP cost (subject to the GM’s permission).    VOICE OF HONOR    4    At this Rank the Doji has learned the art of political maneuvering, making his positions and arguments appear synonymous with Honor, forcing anyone who disagrees with him to take a dishonorable position. In any debate or argument, you may make a Contested Roll of Courtier (Manipulation) / Awareness against the target’s Etiquette (Courtesy) / Awareness. If you win the roll, the opponent is forced to concede that his position conflicts with the demands of Honor and Bushido, and if he persists in his position he will commit a breach of etiquette. (It is the GM’s discretion, based on the circumstances, as to whether it is a minor or major breach.)    THE GIFT OF THE LADY    5    The final training of the Doji teaches them the art of influencing the emotions of others, making friends and allies out of almost anyone – even bitter enemies. By conversing with someone for a few minutes, you may make a Contested Roll of  Courtier (Manipulation) / Awareness against the target’s Etiquette (Courtesy) / Willpower. If the target is an Ally, you gain a bonus of +5k0 to the total of this roll. With a success, you shift the target’s emotions in a favorable direction, persuading them to listen to your advice and counsel. The GM is the final arbiter but in general, the target will go along with anything you suggest which does not conflict with his basic loyalties.
Asahina Shugenja    THE SOUL'S GRACE    1    The Asahina have harnessed the power of the kami for art, not war. You may spend a Void Point to reduce the total of all opponents’ damage rolls inflicted within 20’ of you by 0k1 for a  number of rounds equal to your School Rank. (Using this technique again before its duration expires “resets” the duration but does not increase the damage penalty.) You also gain a Free Raise on any spell with the Defense keyword.
Kakita Bushi    THE WAY OF THE CRANE    1    The study of the sword demonstrates the many ways in which the art of Kakita's technique can be applied. You add twice your Iaijutsu Skill Rank to all Initiative rolls. You gain a bonus of +1k1 plus your School Rank to the total of all attack and Focus rolls while assuming the Center Stance. This bonus also applies during the Combat Round following one in which you assumed the Center Stance.    SPEED OF LIGHTNING    2    Enemies who are slow or weak of spirit are doomed to failure. You gain a bonus of +2k0 to the total of all attack rolls against those with lower Initiative than your own.    FIRST AND LAST STRIKE    3    A Kakita Bushi is feared throughout the Empire as a follower of the oldest and most venerated dueling tradition in the Empire. You may Strike fi rst in a duel if you win the Iaijutsu/ Void roll by a difference of 3 or higher. You gain a Free Raise on your Strike for each additional margin of 3 instead of 5.    ONE STRIKE, TWO CUTS    4    With one pure strike, the advanced student of Kakita’s technique cuts his opponent twice. You may make attacks as a Simple Action instead of a Complex Action while using weapons with the Samurai keyword.    STRIKE WITH NO THOUGHT    5    A true student of Kakita requires no thought  before the perfect strike, depending entirely on instinct. You may take one Simple Action per Turn while assuming the Center Stance. You gain the benefi ts of Center Stance while you assume the Stance instead of the following Turn, and you may remain in Center Stance as many consecutive Turns as desired. The Simple Action you take can be a Move Action (bypassing the normal restriction of the Center Stance).
Ide Courtier    THE HEART SPEAKS    1    The Ide are taught to adapt instantly to new customs and social nuances, allowing them to avoid giving offense in even the most dangerous and hostile of courts. Also, since they must often deal with foreigners who might react poorly to lies or manipulation, they are taught to employ honesty and direct speech wherever possible. In any situation in which you might inadvertently give offense, whether through accident or ignorance (such as being unaware of a daimyo’s hostility to a particular subject of conversation), you may roll Etiquette (Courtesy) / Awareness at TN 20 to avoid doing so. You gain a Free Raise when rolling Sincerity (Honesty), but any time you roll Sincerity (Deceit), your TN is increased by +5.    PIERCING THE VEILS    2    After centuries of dealing with unpredictable and sometimes violent folk in the Burning Sands, the Ide have learned an almost preternatural ability to read the emotions of others, recognizing their true feelings and, hopefully, steering away from trouble. You may attempt to read someone else’s true emotions in a social situation by making a Contested Social Roll of your Etiquette / Awareness against the target’s Etiquette / Willpower. With a success, you gain a simple, general idea of their true feelings – which can be very useful when those feelings are not the same as their outward actions. You may Raise for better information, subject to the GM’s adjudication. (For example, two Raises might tell you, “The Doji is actually hoping for your success against the Dragon.”)    THE HEART LISTENS    3    The Ide family’s training emphasizes friendship and good personal relations as the key to successful diplomacy. You may attempt to sway someone’s attitudes toward you in a positive direction. This requires spending at least 10 minutes in conversation, after which you may make a Contested Roll of your Sincerity (Honesty) / Awareness against their Etiquette (Courtesy) / Willpower. With a success, you shift their attitude toward you in a positive direction. (A hostile individual will become more neutral, an undecided individual will become friendly, etc.) If you make at least two successful Raises on this roll, the target will regard you as an Ally for the remainder of this day (subject to GM approval). This technique cannot be used on Sworn Enemies, and the GM is the fi nal arbiter on whether it functions against unusual targets such as nonhuman creatures.    ANSWERING THE HEART    4    At this level of training, the Ide have become true masters of mediation, able to see past all the deceptions and false fronts of diplomacy and discern the true solution to any problem. When using your Rank Two and Rank Three techniques, you may roll additional unkept dice equal to your School Rank.    THE IMMOVABLE HAND OF PEACE    5     The final lesson the Ide school teaches its students is to be such perfect mediators that no honorable person can raise a hand against them in violence. You may spend a Void point to make a Contested Roll of your Sincerity (Honesty) / Awareness against a target individual’s Etiquette (Courtesy) / Awareness. If you win the roll, the target cannot take any hostile action against you (physical, social, or magical) for a number of hours equal to twice your School Rank, as long as you likewise refrain from hostility against that person. This Technique does not work against those with an Honor Rank less than 2.0, or who possess no Honor Rank (animals, oni, etc).
Moto Bushi    THE WAY OF THE UNICORN    1    The Moto combat style is a wild, unfettered fury that intimidates witnesses. You may wield any two-handed meleeWeapon with one hand (except for bows). You gain a bonus of +1k0 to damage rolls while mounted, using a scimitar, or while using a two-handed melee meleeWeapon (these bonuses do not stack). Scimitars have the Samurai keyword for you.    SHINSEI’S SMILE    2    The Moto are famed for slicing their enemies’ throats from ear to ear, a gruesome display they proudly call Shinsei’s Smile. You take advantage of your opponent’s weakened state, gaining a bonus to your attack rolls equal to half of his Wound Rank TN penalties, rounded down. For example, if your opponent is unhurt and in the Healthy Wound Rank, you do not gain a bonus. If your opponent is in the Crippled Wound Rank, you gain a bonus of +10 to the total of attack rolls.    DESERT WIND STRIKE    3    Power and precision are equally valuable to the Moto. You may make attacks as a Simple Action instead of a Complex Action when using a melee meleeWeapon.    HE CHARGE OF MADNESS    4    The Moto fighting style is utterly relentless, allowing him to move from one foe to another without ceasing. Once per skirmish, if you successfully bring a target down to the Out Wound Level, you may immediately make an additional attack as a Free Action. This attack may not target the same target as the attack that activated this Technique. You may not make Raises on this attack.    MOTO CANNOT YIELD    5     A Moto never surrenders. While mounted or while assuming the Full Attack Stance you keep an additional number of damage dice equal to half your Strength, rounded down. You only gain this bonus while wielding a two-handed meleeWeapon or a meleeWeapon with the Samurai keyword.
Utaku Battle Maiden    RIDING IN HARMONY    1    The Utaku Battle Maidens value honor above all. You gain a bonus equal to your Honor Rank to one attack roll per Round. While mounted, you may instead choose to apply this bonus to one damage roll if you choose. You gain a bonus equal to your Honor Rank to the total of all Horsemanship rolls.    THE VOID OF WAR    2    An Utaku can sacrifice defense for speed if the flow of the battle calls for it. During Stage 1 of any Combat Round, you may add 5 to either your Initiative Score or your Armor TN. This bonus lasts until you use this Technique again or the skirmish ends.    SENSING THE BREEZE    3    The natural feel of the saddle lends an Utaku unnatural freedom of movement. While mounted, you may make attacks as a Simple Action instead of a Complex Action.    WIND NEVER STOPS    4    Like the wind across the battlefield, the charge of an Utaku is unstoppable. While mounted, you may overrun the enemy by spending a Void Point. You may take a Simple Action to charge the enemy and attack him at the end of your movement. (Both the movement and attack take the same Simple Action. If you are mounted, this Action uses the movement rate of your steed.) If this attack succeeds, you gain a bonus of +2k1 to the total of all damage rolls this Turn.    OTAKU’S BLESSING    5    The Utaku carry the honor of their founder as their shield. At the beginning of your Turn, you may spend a Void Point as a Free Action to activate this Technique. You add your Honor Rank to all damage rolls and Bugei Skill Rolls this Turn. This bonus stacks with those from Riding in Harmony.
Iuchi Shugenja    SPIRIT OF THE WIND    1    The Iuchi harness the power of the elements to grant the waves’ speed to others. As a Complex Action, you may sacrifi ce one spell slot of any element to grant one target individual an additional Simple Move Action. This Simple Action is in addition to the target’s normal Actions per Round. The additional Action must be used on the target’s next Turn or it is lost. You also gain a Free Raise on any spell with the Travel keyword.
Yoritomo Bushi    THE WAY OF THE MANTIS    1    Mantis bushi learn to fight on the pitching decks of ships and to use anything within reach as a meleeWeapon. You suffer no penalties to movement or attacks for rough or uneven terrain. You do not lose Glory or Honor when using improvised weapons, or weapons with the Peasant keyword, in combat. You suffer no penalties for fighting with a Small or Medium meleeWeapon in your off-hand if that meleeWeapon has the Peasant keyword. Finally, you gain a bonus of +1k0 to all attack rolls.    VOICE OF THE STORM    2    Your wild, unfettered attacks disorient your opponent and opens holes in his defenses. Every time you hit an opponent in melee, his Armor TN is reduced by 5. This penalty only applies to your attacks, and lasts for 2 Rounds. This Technique is cumulative (a number of times equal to your School Rank), and the duration rese ts with each application.    STRIKE OF THE MANTIS    3    A Yoritomo strikes as swiftly as the storm. You may make attacks as a Simple Action instead of a Complex Action while using weapons with the Samurai or Peasant keyword.    THE ROLLING WAVE    4    The Yoritomo Bushi reacts with the fl ow of combat, deftly dodging blows while reaching his target. If you move at least 5 feet, you gain a bonus of +10 to your Armor TN until your next Turn. You may sacrifice this bonus during your Turn before you roll for any attack to gain two Free Raises that may only be used to perform the Knockdown Maneuver.    HAND OF OSANO-WO    5    The Yoritomo Bushi strikes with brutal force, digging his weapons deep into his target. You may choose to activate this Technique by spending a Void Point as a Free Action. You keep an additional number of damage dice equal to your Strength. If these attacks hit a Prone target, you gain a bonus of +0k2 to the total of your damage rolls against that target.
Tsuruchi Archer    ALWAYS BE READY    1    The Tsuruchi Archer must be prepared to fight against his foes with little warning. You gain a bonus of +1k0 to the total of all attack rolls while using a bow. Additionally, you gain a bonus of +3 to your Initiative Score.    THE ARROW KNOWS THE WAY    2    A Tsuruchi must not aim, but simply allows the arrow to follow its own path. You gain one Free Raise that can only be used to make the Called Shot Maneuver. Additionally, you gain a bonus of +2k0 to the total of all damage rolls while using a bow.    THE WASP’S STING    3    Tsuruchi’s technique teaches its students uncanny speed. You may make attacks as a Simple Action instead of a Complex Action when using a bow.    FLIGHT OF NO-MIND    4    The true archer does not concern himself with the arrow, but exists only to loose it. Once per skirmish, you may spend a Void Point as a Complex Action to shoot an arrow that knows exactly where it must go. This attack ignores all effects of armor, as well as any penalties from Wound Ranks or visibility. You may make Raises but you cannot perform the Extra Attack Maneuver for this attack. You may not shoot a target that is further than your bow’s normal range with this Technique.    TSURUCHI’S EYE    5    The final lesson of Tsuruchi is that there is nothing that cannot be felled by a single arrow. You may make a ranged attack as a Complex Action to gain a bonus of +4k1 to the total of both the attack and damage rolls. You may not use this Technique in conjunction with Flight of No-Mind.
Yoritomo Courtier    DUTY BEFORE HONOR    1    Like the Yasuki, the Mantis courtiers are merchants as well as diplomats, and they cultivate a personal style built around intimidation rather than friendship. Furthermore, they spend much of their lives outside of the courts dealing with some of the more unsavory characters in Rokugan. You do not lose Glory or Honor for using the Commerce skill in public, and you do not lose Honor for using the Intimidation (Control) skill. Any time you are making Social Skill Rolls against ronin, bandits, gang members, mercenaries, pirates, and other lawless types, you gain a number of Free Raises equal to your School Rank.    STORM HEART    2    When the time comes to act in the courts, the Yoritomo eschew the eloquent words of the Doji or the subtle gibes of the Scorpion in favor of straightforward bullying, browbeating friend and foe alike into accepting their position. When you use the Intimidation (Control) Skill, your Willpower is considered to be one Rank higher. When you use the Intimidation (Control) skill against a samurai with lower Status Rank than you, your Willpower is considered two Ranks higher instead.    COMMAND THE WINDS    3    The Mantis are taught to put the force of their boorish and aggressive behavior behind their words in court, making it difficult to tell whether they are lying or telling the truth. A number of times per session equal to your School Rank, if you have failed a Sincerity Social Skill Roll, you may re-roll it as an Intimidation (Control) Social Skill Roll instead. You must take the result of the Intimidation roll.    WILL OF THE STORM    4    An experienced Mantis has learned to shatter and demoralize his opponents in court with his mere presence. When initiating a conversation with someone, you may make a Contested Roll of your Intimidation (Control) / Willpower against his Etiquette (Courtesy) / Willpower. If you win the roll, he cannot spend any Void points against you for the next hour. Also, during that time he suffers a –3k0 penalty to all Social Rolls made against you. (This Technique cannot be used again until its effect expires.)    STRENGTH IN ALL THINGS    5    At this Rank the Mantis courtier’s iron willpower and threatening nature have reached perfection, allowing him to overcome all foes and to laugh in the face of threats that would make even a Hida bushi turn pale. Any time you are attempting to use the Intimidation skill against someone else, or are rolling to resist an Intimidation or Temptation Skill Roll or a Fear effect, you gain a bonus of +5k0 to the roll.
Moshi Shugenja    FAVOR OF THE SUN    1    No family has been more reverent of the various incarnations of the Sun throughout their history, and their piety has granted them great favor with the Heavens. During the day, you gain an additional Affi nity for Fire spells. This benefi t is lost at night. You also gain a Free Raise on any spells with the Thunder keyword.
Bayushi Bushi    THE WAY OF THE SCORPION    1    Scorpion bushi always seem to get the jump on opponents. You gain a bonus of +1k1 to your Initiative Rolls. You also gain a bonus of +5 to your Armor TN against any opponent with lower Initiative.    PINCERS AND TAIL    2    The infamous Scorpion feint has been the demise of many foolhardy samurai. You may make the Feint Maneuver for one Raise instead of two.    STRIKE AT THE TAIL    3    Scorpion bushi strive to keep their enemies off guard, stopping their attacks and slowing them down. When you assume a Stance at the start of your Turn, you may choose a target within 30’. If you successfully hit him during your Turn, the target is Fatigued as if he had gone without rest for 24 hours. During the Reactions Stage, an affected opponent may attempt an Earth Ring roll against a TN of 25 to negate the effects of this Technique. If he fails, the effects of this Technique end during the next Reactions Stage (the second Reactions Stage after he was struck).    STRIKE FROM ABOVE, STRIKE FROM BELOW    4    The swiftness of the Scorpion allows him to cut down foes before they realize they have been attacked. You may make melee attacks as a Simple Action instead of a Complex Action.    THE PINCERS HOLD, THE TAIL STRIKES    5    Striking an opponent’s weakest point is the Scorpion’s true path to victory. Once per encounter, you may spend a Void Point as a Complex Action to attack your opponent with a me-lee meleeWeapon. If the attack is successful, the target is Stunned. During the Reactions Stage, an affected opponent may attempt an Earth Ring roll against a TN equal to the amount of damage dealt to end the Stun effect. If he fails or does not attempt this roll, the Stun effect ends during the next Reactions Stage (the second Reactions Stage after he was struck).
Bayushi Courtier    WEAKNESS IS MY STRENGTH    1    The Bayushi are masters at ferreting out and exploiting the weaknesses and failures of others. Even if they do not know the exact nature of a rival’s secrets, the mere realization that he has some sort of secret is enough for them to work with. When you are making a Contested Social Roll against someone else, you gain a Free Raise to your roll for every 3 points of Mental or Social Disadvantages (rounded off) he possesses. Disadvantages which did not award Experience Points still count for their normal point value for the purposes of this Technique. This technique cannot award more than 5 Free Raises. The Bayushi are also known as the masters of both truth and lies, speaking so smoothly that both are indistinguishable in their mouths. You gain a Free Raise when using the Courtier skill to spread gossip, and need not Raise in order to conceal that you are the source of that gossip.    SHALLOW WATERS    2    The Scorpion know how to assess others, sensing their weaknesses so as to determine how best to bring them down. By conversing with someone for a few minutes, you can make a Contested Roll of your Investigation / Awareness against their Etiquette / Awareness. With a success, you learn the identity and rank of their lowest Mental Trait and their lowest Social Skill that has at least one Rank (the GM chooses in the case of ties). You may spend a Void point to also learn their next lowest Mental Trait and next lowest Social Skill.    ECRETS ARE BIRTHMARKS    3    At this rank, the Scorpion has become so adept at ferreting out secrets that he can lure others into revealing them in casual conversation. By speaking with someone for a few minutes, you may make a Contested Roll of your Courtier (Manipulation) / Awareness against their Etiquette (Courtesy) / Awareness to force them into revealing one Mental or Social Disadvantage they possess. If they have no such Disadvantages, this will instead reveal one Mental or Social Advantage. (Note this will only reveal the rulebook title of the Advantage / Disadvantage, not the specific nature of it. For example, you might learn that the target has “Dark Secret,” but not the specific nature of the secret.) If the roll succeeded in revealing a Disadvantage, with the GM’s permission you may take a 2-point Blackmail Advantage against this individual, for no cost in Experience Points.    SCRUTINY’S SWEET STING    4    At this rank, the Bayushi Courtier has learned to use all the information he has collected to subtly wreck his enemies, undermining their every word and deed. Any time you make a Contested Social Skill Roll against someone on whom you have Blackmail, his dice cannot explode. In addition, any time you make a Contested Social Skill Roll against someone, regardless of whether you have Blackmail on them or not, you may spend a Void point to force them to use a mental Trait of your choice (instead of the normal Trait used for the roll).    NO MORE MASKS    5    The final lesson of the Bayushi School is to force the rest of the court to see the corrupt, dishonorable world he knows, shattering the reputations of those he speaks against. A number of times per session equal to your School Rank, you may make an Opposed Social Roll of Courtier (Gossip) / Awareness against an opponent’s Etiquette (Courtesy) / Awareness. If you have Blackmail on the person you are targeting with this technique, you gain a bonus of +5k0 to total of this roll. With a success, you may inflict one social Disadvantage on the target: Bad Reputation, Sworn Enemy, or Obligation (to someone of your choice). The Disadvantage lasts for one month, unless the GM judges that the target has taken action which can expunge it sooner. (This Technique cannot be used on the same target again until its effect expires.)
Shosuro Infiltrator    THE PATH OF SHADOWS    1    The first lesson of an infiltrator is to mask all signs of one’s true nature. You lose no Honor for use of Low Skills or Ninjutsu Weapons in the service of the Scorpion Clan (subject to GM approval). You gain a bonus of +2k0 to the total of all Stealth Skill Rolls.    STRIKE FROM DARKNESS    2    A student of the Shosuro Techniques never fails to exploit any advantage held over a foe. Whenever you declare an attack against an opponent who is unaware of your presence until the moment of the attack, your Raises are not limited by your Void and you roll additional dice equal to your School Rank on the attack roll. You also roll half this number of additional unkept dice on an attack roll made against an opponent who is suffering from a Condition effect (such as Stunned or Fatigued). These two effects are not cumulative, and if both could apply, you must choose one of them. (You do not add one and one half times your School Rank in dice to an attack roll against an opponent who is both Blinded and unaware of your presence, for example.)    STEEL WITHIN SILK    3    Striking quickly and effectively is the hallmark of a true shadow warrior. When attacking from ambush as described above, or when using ninjutsu weapons (including any weapons with the Ninja keyword), you may make a melee attack (or ranged  attack, in the case of shuriken or tsubute) as a Simple Action rather than a Complex Action.    WHISPER OF STEEL    4    A master assassin strikes from shadow without ever revealing his presence. Even after attacking a target, your opponents and bystanders must succeed at a Contested Roll using Investigation (Notice) / Perception against Stealth / Agility to detect you. You may only use this Technique if you make a single attack per round. (The GM may rule that this technique does not work in situations where concealment is impossible.)    THE FINAL SILENCE    5    The true assassin requires but a single strike. After you make a damage roll as a result of a successful attack, you may spend a Void Point to increase any two dice to show 10s. These 10s do not explode. You may spend multiple Void Points in this manner, with each Void Point spent increasing the result of up to two damage dice.
